FCCs;kcat;rxns;rxnNames;enzymes
0.559841143;670;y000217_EXP_2;aspartate transaminase;Q6BZZ9
0.55003074;2.4014;y000494;glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase;Q6CDI7
0.542260252;22.1994;y000272_EXP_3;chitin synthase;Q6CAF6
0.533808251;11.3048;y000446_REV_EXP_2;formate-tetrahydrofolate ligase (reversible);Q6BZU8
0.499903598;7.0781;y000152;adenylosuccinate lyase;Q6CE97
0.486197833;13.79;y000024;2-isopropylmalate synthase;Q6CFF6
0.451926154;39.1032;y000065;3-phosphoshikimate 1-carboxyvinyltransferase;Q6C1X5
0.441654956;7.4826;y000151;adenylosuccinate lyase (AICAR);Q6CE97
0.43059733;6.0688;y000818;ornithine transacetylase;Q6C627
0.413114182;485.7957;y000487_EXP_4;glycerol dehydrogenase (NADP-dependent);Q6CCI5
0.403172307;52.7;y000476;glutamine synthetase;Q6C3E0
0.399654496;46.0562;y000250_EXP_2;carbamoyl-phosphate synthase (glutamine-hydrolysing);Q6CAV8, Q6C9Y4
0.385750959;24.3262;y001050_REV;transketolase 2 (reversible);Q6C6T4
0.367974707;10.0041;y002140;fatty-acyl-CoA synthase (n-C16:0CoA);P34229, Q6CE16
0.363154406;11.6961;y000279;chorismate synthase;Q6C8Q1
0.362976237;10.2134;y000911;phosphoribosylaminoimidazole-carboxylase;Q6CDK7
0.358251348;31.06;y000149;adenylate kinase;Q6C0A1
0.334501233;207;y000959_EXP_2;pyruvate decarboxylase;Q6C9L5
0.309564565;10.3331;y000353;dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate);Q6CAY2
0.298027015;6.3687;y000514;GMP synthase;Q6CEF3
0.294529322;60;y000997;shikimate kinase;Q6C1X5
0.291759123;500;y001054;triose-phosphate isomerase;Q6C2T9
0.288858974;4.0883;y000225;ATP phosphoribosyltransferase;Q99145
0.287120658;5.4964;y000559;hydroxymethylglutaryl CoA synthase;Q6BZW0
0.284917282;0.73;y000236;C-3 sterol keto reductase (4-methylzymosterol);Q6CE88
0.284917282;0.73;y000237;C-3 sterol keto reductase (zymosterol);Q6CE88
0.280175064;0.7589;y000234;C-3 sterol dehydrogenase;Q6CB38
0.277369241;19.1338;y001069;UDP-N-acetylglucosamine diphosphorylase;Q6C776
0.272756707;0.8409;y000986;S-adenosyl-methionine delta-24-sterol-c-methyltransferase;Q6C2D9
0.259404418;134.4;y000718;malic enzyme (NAD);Q6C5F0
0.251997866;1141;y000713_EXP_2;malate dehydrogenase;Q6C5X9
0.251468265;17.0475;y000029;2-oxo-4-methyl-3-carboxypentanoate decarboxylation;Q6C120
0.241040276;530;y000893;phosphoglycerate mutase;Q6CFX7
0.238600606;260;y000569_EXP_2;inorganic diphosphatase;Q6C1T4
0.230974104;66;y000678;L-aminoadipate-semialdehyde dehydrogenase (NADPH);Q6C6T5, Q6C6I2
0.230023479;963.1;y000892;phosphoglycerate kinase;P29407
0.221818566;2.1403;y300009;oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane;Q6CCW6
0.219212551;35.5;y000477;glutamine-fructose-6-phosphate transaminase;Q6CDT1
0.212508515;1.3896;y000244;C-s24 sterol reductase;Q6C8J1
0.193411284;13.97505;y000679_REV;L-asparaginase (reversible);standard
0.192553787;17;y000545;homoisocitrate dehydrogenase;Q6C9K0
0.190404633;1.1167;y000235;C-3 sterol dehydrogenase (4-methylzymosterol);Q6CB38
0.186001354;12;y000813;O-acetylhomoserine (thiol)-lyase;Q6C7U9
0.18462907;72;y002131;isocitrate dehydrogenase;Q6C2Y4
0.174403754;4.4987;y000144;adenosylhomocysteinase;Q6C211
0.173295116;35.7934;y000547;homoserine dehydrogenase (NADP);Q6CAP2
0.171008423;13.97505;y000208;argininosuccinate synthase;standard
0.168021382;13.97505;y001887;L-glutamate 5-semialdehyde dehydratase;standard
0.166500149;21.1726;y300057_REV;L-Glutamate 5-semialdehyde:NAD+ oxidoreductase (reversible);Q6CF74
0.151892201;33.3;y001038;thioredoxin reductase (NADPH);Q6C7L4, Q6C5B6
0.147875485;240;y002116_EXP_2;acetaldehyde dehydrogenase;Q6C9V7
0.143092448;530;y000216_EXP_1;aspartate transaminase;Q6CFZ7
0.128732544;36.72;y000549;homoserine O-trans-acetylase;Q6C7H3
0.127363571;24.4;y001025;sulfate adenylyltransferase;Q6CFD2
0.126839597;1.7602;y001704_REV;cytidylate kinase (dCMP) (reversible);Q6C2B0
0.122814412;25.3366;y000883;phosphoadenylyl-sulfate reductase (thioredoxin);Q6CFD3, Q6C3W5
0.122021771;240;y002116_EXP_1;acetaldehyde dehydrogenase;Q6CD79
0.121157624;670;y000217_EXP_1;aspartate transaminase;Q6CFZ7
0.118255717;73.7764;y000060_REV;3-isopropylmalate dehydratase (reversible);Q6CG29
0.113577195;40;y000061;3-isopropylmalate dehydrogenase;P18120
0.108347987;121;y000097_EXP_1;acetolactate synthase;Q6CDI5
0.107880876;167;y000300_EXP_1;citrate synthase;Q6C7I2
0.107019277;10.8;y000820_REV;orotate phosphoribosyltransferase (reversible);P41923
0.10536337;20.0673;y000306;CTP synthase (glutamine);Q6CFN6
0.105291774;12.3826;y000103_EXP_1;acetyl-CoA C-acetyltransferase;Q6CFB6
0.103014594;260;y000568_EXP_2;inorganic diphosphatase;Q6C1T4
0.099796471;24.713;y000310_EXP_1;cystathionine g-lyase;Q6CAR4
0.0982697;2.3081;y001729_REV;deoxyadenylate kinase (reversible);Q6C2B0
0.096774421;240;y000174_EXP_2;aldehyde dehydrogenase (acetylaldehyde, NAD);Q6C9V7
0.096579338;35;y000536;histidinol dehydrogenase;Q6CGV2
0.096579338;35;y000909;phosphoribosyl-AMP cyclohydrolase;Q6CGV2
0.092603363;111.0066;y000917;phosphoserine phosphatase (L-serine);Q6CDX6
0.083243563;3.3;y001012;squalene synthase;Q9Y753
0.079858674;240;y000174_EXP_1;aldehyde dehydrogenase (acetylaldehyde, NAD);Q6CD79
0.075221951;14.5257;y000722;mannose-1-phosphate guanylyltransferase;Q6CCU3
0.068649742;38.7589;y000658_EXP_3;isocitrate dehydrogenase (NAD+);Q6C6Z1
0.068027551;40.8;y000548;homoserine kinase;Q6C1T8
0.065914567;93.44;y001084;UTP-glucose-1-phosphate uridylyltransferase;Q6CI26
0.062151724;486.9579;y000280_EXP_2;cis-aconitate(3-) to isocitrate;Q6C5V2
0.062151723;486.9579;y002305_EXP_2;cis-aconitate(3-) to isocitrate;Q6C5V2
0.061069998;3.147;y300071;2'-Deoxyguanosine 5'-triphosphate diphosphohydrolase;Q6CDL9
0.060914114;12.2918;y000317;cytochrome P450 lanosterol 14-alpha-demethylase (NADP);Q6CFP4, F2Z6C9
0.060079854;30.0462;y000939;prephenate dehydrogenase (NADP);Q6C1B7
0.057918365;5.7;y000327;dCTP deaminase;Q6CAZ2
0.057005648;310;y000039;3-dehydroquinate dehydratase;Q6C1X5
0.055062695;24.3262;y001049_REV;transketolase 1 (reversible);Q6C6T4
0.053713533;329;y000996;shikimate dehydrogenase;Q6C1X5
0.052636932;12.8243;y000726;methionine adenosyltransferase;Q6CEM5
0.049244563;13.97505;y200009;acyldihydroxyacetonephosphate reductase;standard
0.04705236;71.7479;y000988;saccharopine dehydrogenase (NAD, L-lysine forming);P38997
0.045521664;34.2068;y000736;mevalonate kinase (ctp);Q6CEF6
0.045259077;38.5301;y000032;3',5'-bisphosphate nucleotidase;Q6C055
0.040824166;15.0188;y000566;indole-3-glycerol-phosphate synthase;Q6C9H7
0.03903548;227;y000215;aspartate kinase;Q6C9F1
0.037621309;879.5;y000148;adenylate kinase;Q6CG57
0.033493789;32;y000007;1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase;Q6C2U0
0.033246437;122;y000020_EXP_2;2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase;Q6CCS4
0.033246437;122;y000042_EXP_2;3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase;Q6CCS4
0.032223303;78.5888;y000118;acteylornithine transaminase;Q6C846
0.032148685;163.9511;y000674_REV;L-alanine transaminase (reversible);Q6CA32
0.031911734;121;y000016_EXP_1;2-aceto-2-hydroxybutanoate synthase;Q6CDI5
0.031599164;21.5;y000309;cystathionine beta-synthase;Q6C6J2
0.028080613;417;y000214_EXP_3;aspartate carbamoyltransferase;Q6C6H5
0.027968587;468;y001027;sulfite reductase (NADPH2);Q6C9H5, Q6C5P4
0.027935385;86;y000453;dihydoorotic acid dehydrogenase;Q6C8K4
0.027406783;22.9;y001048_REV;transaldolase (reversible);Q6C1K2
0.02549039;53.5995;y000739;mevalonate pyrophoshate decarboxylase;Q6C2S1
0.023652122;25.5;y000142;adenosine kinase;Q6C0M3
0.022138383;210;y000018_EXP_2;2-aminoadipate transaminase;Q6C551
0.021911929;9.4849;y000195;alpha,alpha-trehalose-phosphate synthase (UDP-forming);Q6C939, O74932, Q6C3Z3
0.021618138;9.6138;y001051;trehalose-phosphatase;Q6C939, O74932, Q6C3Z3
0.021483752;67.9907;y000904;phosphomevalonate kinase;Q6C6U3
0.021089451;87.2108;y000349_REV;dihydroorotase (reversible);Q6C0P7
0.020706131;121;y000311;cystathionine gamma-synthase;Q6C8S4
0.018872315;6.9471;y000243_EXP_1;C-8 sterol isomerase;Q6CEA6
0.018736261;10.1681;y000238;C-4 methyl sterol oxidase;Q6C231
0.018736261;10.1681;y000239;C-4 methyl sterol oxidase;Q6C231
0.018736261;10.1681;y000240;C-4 methyl sterol oxidase;Q6C231
0.017978143;48.21;y001055;tryptophan synthase (indoleglycerol phosphate);Q6C0G7
0.017418196;640;y000502_EXP_2;glycine hydroxymethyltransferase;Q6C5P5
0.016737753;9.6;y000364;dUTP diphosphatase;Q6C141
0.015677618;39.2936;y102884;PE diacylglycerol acyltransferase;Q6C5M4
0.015642231;17.0205;y000231;C-14 sterol reductase;Q6CDK2
0.01555495;27.7156;y000462;geranyltranstransferase;Q6C6W3
0.015178706;210;y000851_REV;phenylalanine transaminase (reversible);Q6C551
0.015139581;30.0895;y000698;lanosterol synthase;Q6C2X2
0.014530315;131.4677;y000976_EXP_3;ribonucleotide reductase;Q6BZQ3
0.013084209;32.9492;y000355;dimethylallyltranstransferase;Q6C6W3
0.012953858;73.1514;y000978_EXP_3;ribonucleotide reductase;Q6BZQ3
0.012620802;13.613;y000880;PS synthase;Q6C9T5
0.012616721;86.0908;y000154;adenylyl-sulfate kinase;Q6C7J1
0.011985312;2.3986;y000757;myo-inositol 1-phosphatase;Q6CAB0
0.010813274;21;y103098;PG phospholipase C;Q6C2F9
0.010708426;650;y000467_REV;glucose-6-phosphate isomerase (reversible);Q6C2I1
0.009904169;80.4633;y000902_REV;phosphomannomutase (reversible);Q6C985
0.009809826;210;y001063;tyrosine transaminase;Q6C551
0.008931329;107.7863;y000974_EXP_3;ribonucleotide reductase;Q6BZQ3
0.008885555;141;y000723_REV;mannose-6-phosphate isomerase (reversible);Q6CE59
0.008426596;1150;y000452;fumarase, cytoplasmic;Q6CCT2
0.007667644;871.3548;y001021;succinate dehydrogenase (ubiquinone-6);Q6CGZ0, Q6C9G6, Q6C823, Q6C450
0.007460689;367;y000278;chorismate mutase;Q6C5J7
0.007411858;69;y000913;phosphoribosylanthranilate isomerase;F2Z5Z5
0.007173686;28650;y000471;glutamate dehydrogenase (NADP);Q6C1A9
0.007029365;1075;y001088_REV;valine transaminase, mitochondiral (reversible);Q6CAN4
0.006694111;48;y001045;thymidylate synthase;Q6CCB3
0.006656759;507.794;y000910;phosphoribosyl-ATP pyrophosphatase;Q6CGV2
0.006017741;24;y102542;PGP phosphatase;Q6CH12
0.005820077;9400;y000112;acetyl-CoA synthetase;Q6C2Q5
0.005428159;9.6;y000758;myo-inositol-1-phosphate synthase;Q6CFS3
0.005323611;76.8818;y000860;phosphatidylglycerolphosphate synthase;Q6C5Y3
0.005290201;4.3174;y000875;phosphatidylinositol synthase;Q6C104
0.004500206;98.9233;y000202;anthranilate phosphoribosyltransferase;Q6C7L2
0.003987797;1075;y000699_REV;leucine transaminase (reversible);Q6C120
0.003651484;217;y001072;UMP kinase;Q6C2B0
0.003468354;1236;y001087;valine transaminase;Q6C120
0.003360774;9400;y000113;acetyl-CoA synthetase;Q6C2Q5
0.003321264;383;y000203;anthranilate synthase;Q6C9H7, Q6C5V8
0.003192459;117.418;y000257;CDP-diacylglycerol synthase;Q6C5X0
0.00297728;117.418;y000258;CDP-diacylglycerol synthase;Q6C5X0
0.002943488;1300;y000984_REV;ribulose 5-phosphate 3-epimerase (reversible);Q6CC71
0.002549609;32.2722;y000900;phospholipid methyltransferase;Q6C649
0.002549609;32.2722;y000901;phospholipid methyltransferase;Q6C649
0.002455685;121600;y000714_REV;malate dehydrogenase, cytoplasmic (reversible);Q6C5X9
0.002246085;1150;y000451;fumarase;Q6CCT2
0.002018438;2085;y000811;nucleoside-diphosphate kinase (ATP:UDP);Q6C2B5
0.001989152;1075;y000663_REV;isoleucine transaminase (reversible);Q6C120
0.00184025;11.4824;y002268;3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA);F2Z6I5
0.00171076;12.3515;y002251;2-enoyl-CoA hydratase (3-hydroxyhexadecanoyl-CoA);F2Z6I5
0.001576905;25.7466;y002221;fatty acyl-CoA transport via ABC system (C16:0);Q6CHP7, Q6CAB6
0.001477131;3.5036;y000845;peroxisomal acyl-CoA thioesterase;Q6C1N6
0.001456181;6.4216;y000102;acetyl-CoA C-acyltransferase (myristoyl-CoA);Q05493
0.001080758;13.1446;y300065;L-Serine:pyruvate aminotransferase;Q6C5N1
0.001080159;11.7373;y000057;3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA);F2Z6I5
0.001070215;3.2238;y000848;peroxisomal acyl-CoA thioesterase;Q6C1N6
0.001037843;366.6666667;y000877;phosphatidylserine decarboxylase;Q6C893
0.001000057;12.6774;y002250;2-enoyl-CoA hydratase (3-hydroxytetradecanoyl-CoA);F2Z6I5
0.000992579;4080;y001041;threonine synthase;Q6C0N3
0.000944206;1932;y000938;prephenate dehydratase;Q6CEA0
0.000929839;218;y000344;dihydrofolate reductase;Q6CC38
0.000892832;1000;y000564;imidazoleglycerol-phosphate dehydratase;Q6C3L0
0.000873698;6.4216;y000105;acetyl-CoA C-acyltransferase (lauroyl-CoA);Q05493
0.000762859;2085;y000800;nucleoside diphosphate kinase;Q6C2B5
0.000659162;2.0723;y002182;palmitoyl-CoA desaturase (n-C16:0CoA - n-C16:1CoA), ER membrane;Q6CCW6
0.00061999;2140;y000537;histidinol-phosphatase;Q6C6Z5
0.000606335;3400;y000816;ornithine carbamoyltransferase;Q6C924
0.000596818;23.8027;y300066_REV;L-Serine:glyoxylate aminotransferase (reversible);Q6C5N1
0.000577219;17.6094;y000125;acyl-CoA oxidase (tetradecanoyl-CoA);O74936
0.000498565;165.0257;y000859_EXP_2;phosphatidylethanolamine methyltransferase;Q6C649
0.000495169;394;y000528;guanylate kinase;Q6CBQ9
0.00043642;4000;y000957;pyrroline-5-carboxylate reductase;Q6CEN0
0.000386593;25.8178;y002194;fatty-acid--CoA ligase (dodecanoate), ER membrane;Q6C8Q3
0.000386592;25.8178;y002200;fatty-acid--CoA ligase (dodecanoate), lipid particle;Q6C8Q3
0.000354686;6249;y000563;Imidazole-glycerol-3-phosphate synthase;Q6CCR8
0.000285453;360000;y000109;acetyl-CoA carboxylase, reaction;Q6CC91, Q6C416
0.000264176;354;y000337;diacylglycerol pyrophosphate phosphatase;Q6C7L9
0.000257722;25.8178;y002195;fatty-acid--CoA ligase (tetradecanoate), ER membrane;Q6C8Q3
0.000257721;25.8178;y002201;fatty-acid--CoA ligase (tetradecanoate), lipid particle;Q6C8Q3
0.000217176;78;y000123;acyl-CoA oxidase (hexadecanoyl-CoA);O74936
0.000129432;161;y000717_EXP_1;malate synthase;Q6C8J4
0.000109548;2085;y000795;nucleoside diphosphate kinase;Q6C2B5
9.23E-05;39530;y000982;ribose-5-phosphate isomerase;Q6CFH4
7.95E-05;15648.33333;y000009_EXP_3;1-acyl-sn-gylcerol-3-phosphate acyltransferase;Q6C8R8
7.84E-05;2085;y000797;nucleoside diphosphate kinase;Q6C2B5
7.72E-05;2085;y000798;nucleoside diphosphate kinase;Q6C2B5
5.09E-05;15648.33333;y103312;lysoPE acyltransferase, lipid particle;Q6C8W4
3.79E-05;127.9382;y000127;acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane;Q6C2M6
2.45E-05;670;y000218_REV_EXP_2;aspartate transaminase (reversible);Q6BZZ9
1.20E-05;131.9324;y000132;acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane;Q6C2M6
1.09E-05;29900;y000667;isopentenyl-diphosphate D-isomerase;Q6C2Y8
6.84E-06;1670;y000488;glycerol kinase;Q6C3E1
5.27E-06;670;y000218_REV_EXP_1;aspartate transaminase (reversible);Q6CFZ7
2.03E-06;28941;y001053_EXP_1;triacylglycerol lipase;Q6C8R8
4.05E-07;5.5594;y000446_REV_EXP_1;formate-tetrahydrofolate ligase (reversible);F2Z650
3.32E-07;13.4004;y002057_REV;succinate transport (reversible);Q6CBU1
8.08E-08;6.8728;y000510_EXP_2;glycogen (starch) synthase;Q6C2D8, Q6C181
8.06E-08;121600;y000715_REV_EXP_1;malate dehydrogenase, peroxisomal (reversible);Q6C8V3
1.00E-08;0.0788;y300023;long-chain alcohol oxidase (C12);Q6CEP8
7.98E-09;22.4783;y000721_REV_EXP_2;malonyl-CoA-ACP transacylase (reversible);Q6C7X2, Q6C5F2, Q6BZY3
7.33E-09;0.5413;y000503_REV_EXP_1;glycine hydroxymethyltransferase (reversible);Q6C859
7.33E-09;16.2757;y300025_EXP_4;long-chain aldehyde dehydrogenase (C10);Q6CGT5
7.33E-09;16.2757;y300027_EXP_4;long-chain aldehyde dehydrogenase (C16);Q6CGT5
7.33E-09;28.1517;y300025_EXP_8;long-chain aldehyde dehydrogenase (C10);Q6C6P0
7.33E-09;28.1517;y300027_EXP_8;long-chain aldehyde dehydrogenase (C16);Q6C6P0
7.33E-09;244.238;y300025_EXP_7;long-chain aldehyde dehydrogenase (C10);Q6CGX5
7.33E-09;244.238;y300027_EXP_7;long-chain aldehyde dehydrogenase (C16);Q6CGX5
3.10E-09;0.0788;y300024;long-chain alcohol oxidase (C16);Q6CEP8
1.07E-09;6.4227;y000764;NAD diphosphatase;Q6C2F8
1.02E-09;2.3602;y000445_EXP_9;formate dehydrogenase;Q6C1I4
2.69E-10;14.6;y002203_REV;fatty-acid--CoA ligase (hexadecenoate), lipid particle (reversible);Q6C8Q3
2.47E-10;14.6;y002197_REV;fatty-acid--CoA ligase (hexadecenoate), ER membrane (reversible);Q6C8Q3
-3.40E-10;2.2744;y300031;xanthine dehydrogenase;Q6CHN2
-4.02E-10;13.97505;y000679;L-asparaginase;standard
-7.06E-10;14.7951;y000277;cholinephosphotransferase;Q6CCA9
-7.06E-10;8.92;y000257_REV;CDP-diacylglycerol synthase (reversible);Q6C5X0
-7.06E-10;33.3;y000274;choline phosphate cytididyltransferase;Q6C8N4
-7.06E-10;71.3247;y300070;Inosine 5'-triphosphate pyrophosphohydrolase;Q6CDL9
-4.59E-09;6.1365;y300025_EXP_2;long-chain aldehyde dehydrogenase (C10);Q6C7T0
-4.59E-09;6.1365;y300027_EXP_2;long-chain aldehyde dehydrogenase (C16);Q6C7T0
-4.59E-09;4.1481;y300025_EXP_1;long-chain aldehyde dehydrogenase (C10);Q6C297
-4.59E-09;4.1481;y300027_EXP_1;long-chain aldehyde dehydrogenase (C16);Q6C297
-4.59E-09;23.0362;y300025_EXP_5;long-chain aldehyde dehydrogenase (C10);Q6C5R5
-4.59E-09;23.0362;y300027_EXP_5;long-chain aldehyde dehydrogenase (C16);Q6C5R5
-4.59E-09;2.1861;y300025_EXP_6;long-chain aldehyde dehydrogenase (C10);Q6CAJ7
-4.59E-09;2.1861;y300027_EXP_6;long-chain aldehyde dehydrogenase (C16);Q6CAJ7
-6.11E-09;16.831;y300034;OHCU decarboxylase;Q6CI68
-6.11E-09;8.4701;y000358;diphosphoinositol-1,3,4,6-tetrakisphosphate synthase;Q6C1R8
-6.11E-09;161;y000716_EXP_1;malate synthase;Q6C8J4
-6.11E-09;8.8297;y000990;sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase;Q6C4K5
-6.11E-09;0.5009;y000351;dihydropteroate synthase;Q6CI15
-6.11E-09;10.5899;y000146_EXP_2;adenosylmethionine-8-amino-7-oxononanoate transaminase;Q6CCX7
-6.11E-09;158;y000949_REV;guanosine phosphorylase (reversible);Q6BZX6
-6.11E-09;23.6388;y000799;nucleoside diphosphate kinase;Q6C2B5
-6.11E-09;66.289;y000273;choline kinase;Q6C5L9
-6.11E-09;0.765;y000497;glycerophosphodiester phosphodiesterase (glycerophosphocholine);Q6C3R1
-6.11E-09;10.7276;y000089;5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4;Q6CES1
-6.11E-09;8.5029;y300062_EXP_2;L-aspartate 1-carboxy-lyase (beta-alanine-forming);Q6CBP5
-6.11E-09;50.5;y000511;glycogen phosphorylase;Q6C2Y0
-6.11E-09;18.1;y300040_EXP_1;erythrose reductase;Q6C9X2
-6.11E-09;25.053;y000076;5'-nucleotidase (CMP);Q6C090
-6.11E-09;1.2496;y000523_EXP_1;GPI-anchor assembly, step 9;Q6C741
-6.11E-09;833;y103216;PI 3,5-P2 phosphatase;Q6CDN0, Q6C3P9
-6.11E-09;23.3398;y102948;PC diacylglycerol acyltransferase;Q6C5M4
-6.11E-09;28.2613;y002241_EXP_2;acyl-CoA oxidase (tetracosanoyl-CoA);Q6C6T0
-6.11E-09;26.6542;y000815_REV_EXP_1;O-succinylhomoserine lyase (L-cysteine) (reversible);Q6CAR4
-6.11E-09;63.8823;y000363;dTMP kinase;Q6CC22
-6.11E-09;31.06;y000150;adenylate kinase (GTP);Q6C0A1
-6.11E-09;240;y000175_EXP_3;aldehyde dehydrogenase (acetylaldehyde, NADP);Q6C7J6
-6.11E-09;15.2331;y001069_REV;UDP-N-acetylglucosamine diphosphorylase (reversible);Q6C776
-6.11E-09;5.9711;y000092_REV_EXP_1;6PP-IP5 depyrophosphorylation to IP6 (reversible);Q6CHV1
-6.11E-09;16;y000670;kynureninase;Q6CDM0
-6.11E-09;28.059;y000067;4-aminobenzoate synthase;Q6C8W9
-6.11E-09;987;y001071;UDPglucose--hexose-1-phosphate uridylyltransferase;Q6C0K3
-6.11E-09;12.3723;y300063_EXP_1;glutathione gamma-glutamylaminopeptidase;Q6CC93
-6.11E-09;850000;y000255_EXP_1;catalase;Q6C3J7
-6.11E-09;4600;y000147;adenylate cyclase;Q6CE40
-6.11E-09;28000;y000951;inosine phosphorylase;Q6BZX6
-6.11E-09;1300;y000984;ribulose 5-phosphate 3-epimerase;Q6CC71
-6.11E-09;1250;y300059_REV;succinyl-CoA:acetoacetate CoA-transferase (reversible);Q6C098
-6.11E-09;5.8859;y000146_EXP_1;adenosylmethionine-8-amino-7-oxononanoate transaminase;Q6CHH7
